season,round,race_name,date,time,circuit_id,circuit_name,city,country,lat,lng,url
2024,1,Bahrain Grand Prix,2024-03-02,15:00:00Z,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,https://en.wikipedia.org/wiki/2024_Bahrain_Grand_Prix
2024,2,Saudi Arabian Grand Prix,2024-03-09,17:00:00Z,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.6319,39.1044,https://en.wikipedia.org/wiki/2024_Saudi_Arabian_Grand_Prix
2024,3,Australian Grand Prix,2024-03-24,04:00:00Z,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,https://en.wikipedia.org/wiki/2024_Australian_Grand_Prix
2024,4,Japanese Grand Prix,2024-04-07,05:00:00Z,suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,https://en.wikipedia.org/wiki/2024_Japanese_Grand_Prix
2024,5,Chinese Grand Prix,2024-04-21,07:00:00Z,shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22,https://en.wikipedia.org/wiki/2024_Chinese_Grand_Prix
2024,6,Miami Grand Prix,2024-05-05,20:00:00Z,miami,Miami International Autodrome,Miami,USA,25.9581,-80.2389,https://en.wikipedia.org/wiki/2024_Miami_Grand_Prix
2024,7,Emilia Romagna Grand Prix,2024-05-19,13:00:00Z,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167,https://en.wikipedia.org/wiki/2024_Emilia_Romagna_Grand_Prix
2024,8,Monaco Grand Prix,2024-05-26,13:00:00Z,monaco,Circuit de Monaco,Monte Carlo,Monaco,43.7347,7.42056,https://en.wikipedia.org/wiki/2024_Monaco_Grand_Prix
2024,9,Canadian Grand Prix,2024-06-09,18:00:00Z,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,https://en.wikipedia.org/wiki/2024_Canadian_Grand_Prix
2024,10,Spanish Grand Prix,2024-06-23,13:00:00Z,catalunya,Circuit de Barcelona-Catalunya,Barcelona,Spain,41.57,2.26111,https://en.wikipedia.org/wiki/2024_Spanish_Grand_Prix
2024,11,Austrian Grand Prix,2024-06-30,13:00:00Z,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,https://en.wikipedia.org/wiki/2024_Austrian_Grand_Prix
2024,12,British Grand Prix,2024-07-07,14:00:00Z,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,https://en.wikipedia.org/wiki/2024_British_Grand_Prix
2024,13,Hungarian Grand Prix,2024-07-21,13:00:00Z,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,https://en.wikipedia.org/wiki/2024_Hungarian_Grand_Prix
2024,14,Belgian Grand Prix,2024-07-28,13:00:00Z,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,https://en.wikipedia.org/wiki/2024_Belgian_Grand_Prix
2024,15,Dutch Grand Prix,2024-08-25,13:00:00Z,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,https://en.wikipedia.org/wiki/2024_Dutch_Grand_Prix
2024,16,Italian Grand Prix,2024-09-01,13:00:00Z,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,https://en.wikipedia.org/wiki/2024_Italian_Grand_Prix
2024,17,Azerbaijan Grand Prix,2024-09-15,11:00:00Z,baku,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,https://en.wikipedia.org/wiki/2024_Azerbaijan_Grand_Prix
2024,18,Singapore Grand Prix,2024-09-22,12:00:00Z,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,https://en.wikipedia.org/wiki/2024_Singapore_Grand_Prix
